ID,Age,Gender,Tenure,Plan,Months To Contract End,ARPU,Churned
20302565,65.0,MALE,34.322580645,1000Mbps Fibre Broadband,-10.35483871,32.6168,0.0
5795195,49.0,MALE,85.387096774,1000Mbps Fibre Broadband,0.741935483,31.32,0.0
14982055,40.0,MALE,81.774193548,1000Mbps Fibre Broadband,9.258064516,36.32,0.0
15705186,39.0,MALE,81.29032258,1000Mbps Fibre Broadband,-4.612903226,37.2905,0.0
21406473,71.0,FEMALE,21.387096774,1000Mbps Fibre Broadband,2.580645161,40.094,1.0
16848564,66.0,MALE,41.741935483,1000Mbps Fibre Broadband,9.870967741,31.32,0.0
16848564,66.0,MALE,41.741935483,1000Mbps Fibre Broadband,9.870967741,31.32,0.0
14469887,41.0,MALE,47.0,1000Mbps Fibre Broadband,-23.06451613,37.38,0.0
21615036,60.0,MALE,18.354838709,2000Mbps Fibre Broadband,5.612903225,63.3084,0.0
14576929,76.0,MALE,75.387096774,1000Mbps Fibre Broadband,-21.870967742,37.38,0.0
5784155,55.0,MALE,63.096774193,1000Mbps Fibre Broadband,22.516129032,60.20521,0.0
19220760,47.0,FEMALE,46.870967741,1000Mbps Fibre Broadband,3.903225806,31.32,0.0
18642591,60.0,FEMALE,51.516129032,1000Mbps Fibre Broadband,18.967741935,37.2905,0.0
17993141,40.0,FEMALE,58.161290322,1000Mbps Fibre Broadband,21.193548387,31.81,0.0
17993141,40.0,FEMALE,58.161290322,1000Mbps Fibre Broadband,21.193548387,31.81,0.0
18260505,83.0,MALE,55.129032258,1000Mbps Fibre Broadband,-8.06451613,36.08,0.0
6298723,44.0,MALE,79.064516129,1000Mbps Fibre Broadband,3.129032258,36.08,0.0
6429285,49.0,MALE,85.451612903,1000Mbps Fibre Broadband,-8.35483871,36.08,0.0
5918077,62.0,FEMALE,85.225806451,1000Mbps Fibre Broadband,-2.419354839,36.08,0.0
19861570,36.0,MALE,41.29032258,1000Mbps Fibre Broadband,-1.193548388,31.32,0.0
18542990,48.0,MALE,52.29032258,1000Mbps Fibre Broadband,-28.322580646,32.6168,0.0
6474885,54.0,MALE,14.709677419,2000Mbps Fibre Broadband,9.258064516,53.1775,0.0
13193308,66.0,MALE,50.870967741,1000Mbps Fibre Broadband,7.032258064,31.32,0.0
18944276,72.0,FEMALE,48.93548387,1000Mbps Fibre Broadband,-0.741935484,42.4126,0.0
5807195,52.0,MALE,64.64516129,1000Mbps Fibre Broadband,-19.225806452,34.92,0.0
20414058,51.0,MALE,32.806451612,1000Mbps Fibre Broadband,14.064516129,37.2905,0.0
14005000,63.0,MALE,76.064516129,1000Mbps Fibre Broadband,-27.258064517,37.38,0.0
13954839,71.0,MALE,72.93548387,1000Mbps Fibre Broadband,6.93548387,40.2805,0.0
13954839,71.0,MALE,72.93548387,1000Mbps Fibre Broadband,6.93548387,40.2805,0.0
15290460,53.0,FEMALE,44.419354838,1000Mbps Fibre Broadband,-20.451612904,37.2905,0.0
15689826,80.0,MALE,81.451612903,1000Mbps Fibre Broadband,17.580645161,31.81,0.0
6410324,53.0,MALE,52.354838709,1000Mbps Fibre Broadband,3.64516129,36.08,0.0
18433548,40.0,FEMALE,53.548387096,1000Mbps Fibre Broadband,-29.580645162,37.2905,0.0
19569005,57.0,MALE,44.387096774,1000Mbps Fibre Broadband,0.548387096,31.32,0.0
13590274,66.0,FEMALE,83.967741935,1000Mbps Fibre Broadband,-38.290322581,37.2905,0.0
21809679,34.0,MALE,15.870967741,1000Mbps Fibre Broadband R1,8.096774193,42.8972,0.0
14803732,53.0,FEMALE,22.29032258,2000Mbps Fibre Broadband,1.677419354,51.3084,1.0
16501038,37.0,FEMALE,72.064516129,1000Mbps Fibre Broadband,0.0,36.08,0.0
6602567,66.0,MALE,24.483870967,2000Mbps Fibre Broadband,-0.516129033,48.99,0.0
6110320,44.0,MALE,79.354838709,1000Mbps Fibre Broadband,-0.483870968,50.094,0.0
20055733,37.0,MALE,38.451612903,1000Mbps Fibre Broadband,9.677419354,37.2905,0.0
20933906,53.0,MALE,26.516129032,1000Mbps Fibre Broadband,-2.548387097,37.2905,0.0
6395924,50.0,FEMALE,54.516129032,1000Mbps Fibre Broadband,10.870967741,31.32,0.0
5966798,51.0,MALE,73.193548387,1000Mbps Fibre Broadband,-0.903225807,31.32,0.0
5966798,51.0,MALE,73.193548387,1000Mbps Fibre Broadband,-0.903225807,31.32,0.0
13870118,54.0,MALE,69.612903225,MaxInfinity 500Mbps,-16.645161291,27.9439,0.0
